main_id,coo_ra,coo_dec,plx_value,dist_st_value,sptype_string,coo_gal_l,coo_gal_b,teff_st_value,mass_st_value,radius_st_value,binary_flag,mag_i_value,mag_j_value,class_lum,class_temp,parent_main_id,sep_ang_value,sep_phys_value,a_crit_s,ecliptic_pm45deg
LP  170-87,184.54708313068997,44.83330139517,33.9967,29.41,M5.5,141.370042452503,71.0856525142169,2930.0,0.123,0.156,False,,11.618000030517578,V,M,,,,,False
LP  585-73,10.11009878361,-0.14469636995999996,39.833,25.1,M2.5V,116.89030567108765,-62.88736522682761,3335.0,0.4,0.421,False,,8.925999641418457,V,M,,,,,True
LP  884-94,27.771412001377502,-30.96575001392694,49.9332,20.03,M4.5Ve,232.88189131363214,-76.42344767665806,3110.0,0.184,0.217,False,,10.942000389099121,V,M,,,,,True
L  120-120,351.35374300000007,-67.6686562,44.2,22.62,M4,314.8134470455955,-47.42609316285896,3110.0,0.184,0.217,False,11.479999542236328,9.907999992370605,V,M,,,,,False
LP  868-19,289.1483053275029,-25.64497963430306,36.1663,27.65,M3V,12.144869197380688,-16.57278762964975,3111.98828125,0.27,0.4321306049823761,False,,9.696999549865723,V,M,,,,,True
PM J04274+2022,66.85443840682,20.37904202864,40.7398,24.55,M1.5V,176.4290303667126,-19.36906735531844,3514.0,0.47,0.482,False,,8.769000053405762,V,M,,,,,True
LP  452-10,291.70574435078,16.71710331807,47.7055,20.96,M3.5Ve,51.786132804503104,0.004628572070118863,3081.0751953125,0.27,0.46133795380592346,False,10.430000305175781,9.0,V,M,,,,,True
Wolf 1246,54.87380784786,24.9673659032,62.6541,15.96,M3.5Ve,164.55806146167654,-24.014970503775235,3327.0,0.27,0.37587636709213257,False,,8.812999725341797,V,M,,,,,True
G 270-100,14.126071902185835,-4.420880141346943,34.0709,29.35,M4.0V,126.20040935506789,-67.26046977413856,4250.0,0.184,0.217,False,,10.444000244140625,V,M,,,,,True
LSR J1835+3259,278.90783384444705,32.99814336087223,175.793,5.69,M8.5V,61.64596151002953,17.444002608034385,2420.0,0.08,0.104,False,,10.270000457763672,V,M,,,,,False
PM J19427-1723,295.6800736612546,-17.39009422333611,44.8697,22.29,M4.0,22.611799546722192,-18.950020750923414,3151.0,0.184,0.217,False,,9.829000473022461,V,M,,,,,True
Wolf  140,49.52921972419,42.66920410852,41.5664,24.06,M3.5V,149.65694512129255,-12.464248130799499,3108.0,0.27,0.3,False,,9.253999710083008,V,M,,,,,True
G  17-7,243.6824903881892,4.869033522555,37.544,26.64,M3.49,17.620334782741484,36.790855145364254,3094.0,0.27,0.3,False,,9.47599983215332,V,M,,,,,True
