star_name|simbad_name|ra|dec|st_teff|sy_dist|st_spectype|sy_icmag|st_rad|st_mass|fl_known|fl_gaia|from_catalog
TIC 414587194|HD 239960B|336.9978|57.6959|3620.0|4.0005|M4V||0.1806332128425729|0.3214466130599901|1|1.0|HPIC
TIC 289643770|* alf Oph|263.73417450561|12.55903982525|7899.2|14.8964695367198|A5IVnn|1.85|2.629341711330246|1.889905910915628|1|0.0|HPIC
TIC 471012596|HD 155876|258.0325|45.6661|3462.0|6.32231143706139|M3V||0.3598300306785144|0.4680399292558726|1|0.0|HPIC
TIC 318686860|BD+05  1668|111.8521|5.2258|3150.0|3.786|M3.5V|7.161|0.362232291372524|0.2935178888822196|1|1.0|HPIC
TIC 197761293|HD 206804|326.648994|-57.703423|4081.0|19.025875190258752|K6.5Vk|8.61|0.8975387558337945|0.6386441463804694|1|0.0|HPIC
TIC 99143515|HD 106453B|183.67663|-24.775515||29.3073|nan||||1|0.0|HPIC
TIC 287081516|BD+20  3010|220.640165|19.479681|4138.0|21.58|M0V|7.553|0.8413805638327326|0.647660514240872|1|0.0|HPIC
TIC 11895653|* gam UMa|178.45756125256|53.69474969408|9311.0|25.6476|A0Ve+K2V|2.47|3.1610898967458705|2.363135965047291|1|0.0|HPIC
TIC 293521985|Ross  440|142.831|-13.4887|3479.0|10.5318588730911|M3V|7.682|0.7209810036065879|0.5368483809217346|1|0.0|HPIC
TIC 471011153|HD  40887|90.081558|-31.028713|4423.865558482425|16.39|K5V+K5V|6.526|0.911490682140437|0.6924581531507225|0|0.0|HPIC
TIC 48769732|HD 188807|299.33183|-12.567985|4054.0|17.9135|K7V|7.774|0.6898030593291147|0.6341591707593124|1|1.0|HPIC
TIC 247985093|BD+19  5116B|352.9689|19.9372|3268.0|6.2535|M4.0Ve||0.4680519328057512|0.2531337155160046|1|1.0|HPIC
TIC 379499784|HD 154590B|257.029526|-41.723007||22.9654|nan||||1|0.0|HPIC
TIC 257505374|BD-18   359|31.2702|-17.6146|3358.0|9.3199|M2.5|7.851|0.569532125531095|0.4704159237431661|1|1.0|HPIC
TIC 73499040|CE 149|154.9736|-41.8171|3200.0|21.44542140253056|M3.5|10.47|0.2195339589338977|0.3406561376369736|1|0.0|HPIC
TIC 44764568|L  462-119|146.417|-39.0407|3764.0|20.21018593371059|M2.5V||0.4759507145221535|0.4412170512960198|1|0.0|HPIC
TIC 106504049|L  465-84|159.9348|-37.9204|3203.0|13.98|M2Ve|8.565|0.6073632996233274|0.4964530033396336|1|0.0|HPIC
TIC 29727593|CD-30  8159|151.2108|-31.0911|3600.0|26.5717|M2+V|9.747|0.5889408156860018|0.5212333139716079|0|0.0|HPIC
TIC 423443452|BD-20  3198|157.7652|-21.6445|4139.159544923024|25.541|K7V||0.5519351337272644|0.657|1|0.0|HPIC
TIC 430590567|CD-44  4756|131.0963|-44.4725|3563.0|18.56|M2V:|8.422|0.6794414055992088|0.6018543134038463|1|0.0|HPIC
TIC 22970702|PM J07167-4118|109.1752|-41.3016|3200.0|21.691973969631235|nan|10.9|0.1860691370335979|0.2838238374688603|0|0.0|HPIC
TIC 157399917|L  455-111 A|106.190698|-38.60202|4250.0|22.425|M3||0.1244100936953767|0.357|1|1.0|HPIC
TIC 22147322|LP  847-48|148.8494|-27.2613|3366.0|10.9007|M3V|9.486|0.2967115368101078|0.2949256789210229|0|0.0|HPIC
TIC 52103995|BD-17  3088|153.034|-18.6178|3654.0|18.0203|K7V|8.099|0.7022150112098067|0.6095519353578568|1|0.0|HPIC
TIC 396795976|LP  728-70|147.6689|-13.8107|3200.0|19.554165037152917|M4.0|10.01|0.2563390877599544|0.3985103617962445|0|0.0|HPIC
TIC 437127546|nan|123.1703|-21.5519|3182.080154203731|15.3083|nan||0.3053036458634245|0.4760092170250186|0|0.0|HPIC
TIC 332304837|LP  784-12|120.5142|-17.1718|4102.192325643751|26.7103|M1.5||0.3899131667848916|0.602|1|0.0|HPIC
TIC 422124638|L  818-40|122.6428|-13.8143|3612.0|20.9166|M2.5V||0.4078381692013421|0.4703186808713595|1|0.0|HPIC
TIC 347508671|nan|133.5219|-13.125|3269.0287592759423|22.1685|nan||0.4459313208412362|0.5162604642361751|0|0.0|HPIC
TIC 51323309|G 114-4|128.703|-8.8051|3274.1035355551494|23.752969121140143|nan||0.1756627305289615|0.2864898410230614|0|0.0|HPIC
TIC 124147486|LP  910-13|196.5508|-29.9431|3200.0|21.598272138228943|M2.5||0.190361891078894|0.2904383612321373|0|0.0|HPIC
