,main_id,coo_ra,coo_dec,plx_value,dist_st_value,sptype_string,coo_gal_l,coo_gal_b,teff_st_value,mass_st_value,radius_st_value,binary_flag,mag_i_value,mag_j_value,class_lum,class_temp,parent_main_id,sep_ang_value,sep_phys_value,a_crit_s,ecliptic_pm45deg,Lon,Lat,baseline_E,separation_E,baseline_i,baseline_o,Erik_teff,teff,contrast,contrast_flag,baseline_flag,optimised_flag
893,V* KU Lib,220.12960970803,-16.20929238842,42.1376,23.73,G8Vk:,337.538086626455,39.2228746390032,5446.9169921875,0.903097093105316,0.894375681877136,False,6.46999979019165,5.94700002670288,V,G,,,,,True,222.7546260839968,-0.5688331725050663,36.25822568259305,0.033563759228353834,38.02794791485382,21.4506555931852,5482.769649208536,5446.9169921875,1.8775018323991406e-07,1,1,1
894,HD 210667,332.79963786153,36.25632535644,44.488,22.48,G9V,90.2117675701755,-16.237242803837,5258.203125,0.845463454723358,0.932531774044037,False,,5.83699989318848,V,G,,,,,False,351.829758471511,43.572003135427856,35.34990543124156,0.03442618422911935,37.07529359826424,20.913286085625145,5382.697825162882,5258.203125,1.797819444534128e-07,1,1,1
895,LP  874-18,325.605470246365,-26.4011301091914,41.8784,23.88,M5Ve,22.7180923546302,-48.0586800706179,2991.4111328125,0.123,0.16951322555542,False,,11.3210000991821,V,M,,,,,True,319.05730649498565,-11.929609300703556,638.2764620664303,0.0019066383129936098,669.4300009940123,377.60944732595567,3061.963433690679,2991.4111328125,1.067149635894684e-05,1,0,0
896,HD  20619,49.75789307795,-2.84319253022,41.671,24.0,G1.5V,184.84173767215,-47.177796014280304,5657.169921875,0.99083936214447,0.912873685359955,False,6.34299993515015,5.87599992752075,V,G,,,,,True,46.49594294512583,-20.413587882466963,33.306761859370816,0.03653799675862148,34.932426542004244,19.704546047673706,5814.334323084471,5657.169921875,1.7263870305905995e-07,1,1,1
897,HD 149621,249.31790292214,-33.1475575267,39.0807,25.59,K5.5Vk:,347.942437499093,9.34618726998837,4154.0,0.7,0.91995632648468,False,,6.85300016403198,V,K,,,,,True,252.46512184697875,-10.95781339516487,65.35824722709656,0.018619874438024004,68.54830799267113,38.66646050790525,4365.158322401657,4154.0,2.4290273840692947e-07,1,1,1
898,L  123-30,12.3710830467575,-61.04243375773,51.1729,19.54,M2.0V,303.3557110763,-56.0842111357641,3450.74487304688,0.4,0.399213016033173,False,9.85999965667725,8.6269998550415,V,M,,,,,False,331.85914064410736,-57.57281128907059,166.65734911754944,0.007302182371804684,174.79170236706787,98.59581738193087,3556.3131856898544,3450.74487304688,1.6118558735685396e-06,1,0,0
899,Wolf 1074,308.73047820485,59.29076931822,45.7865,21.84,M4V,95.0031952349912,11.170051893226,3093.0,0.184,0.356695204973221,False,,9.31799983978272,V,M,,,,,False,355.78694711587383,71.31965606351802,259.49310848663885,0.004689767539319947,272.15866821996383,153.51819329714795,3213.660538640318,3093.0,2.3112873313989154e-06,1,0,0
900,CD-23 12010,225.08082665423,-24.45408163177,36.3525,27.51,K7V,336.931901298905,29.7767535392358,4154.0,0.64,0.684053063392639,False,,7.57999992370606,V,K,,,,,True,229.6266357503293,-7.088072626271497,94.49266975652863,0.012878907538473766,99.10474812786731,55.902617319770755,4102.041029866068,4154.0,4.393263450963734e-07,1,1,1
901,Ross  690,185.750668114914,64.0308236608686,54.4474,18.37,M3V,128.075744591911,52.8125135627729,3243.43115234375,0.27,0.558847784996033,False,,7.93699979782105,V,M,,,,,False,143.93770395141084,57.38009056545445,126.68831522635882,0.00960595580329153,132.8718259691745,74.94981804656128,3427.6778654645045,3243.43115234375,8.876153489321841e-07,1,0,0
902,CD-23  1056,41.6786955289875,-23.0866117757633,42.6929,23.42,K5V,210.539296821933,-63.6515684296807,4176.0,0.7,0.701,False,8.54399967193604,7.55800008773804,V,K,,,,,True,30.535327576420254,-37.09443165532519,77.67445209153944,0.01566747269003812,81.46565263037512,45.95282556820961,4436.086439314323,4176.0,4.157382532241239e-07,1,1,1
903,LP  496-48,193.711625146643,11.9873641608203,56.0762,17.83,M6V,306.12048446629,74.838005071497,4250.0,0.093,0.126,False,,10.5089998245239,V,M,,,,,True,187.79669486092308,16.425068797090653,725.6231063999833,0.0016771273490663147,761.0399344290138,429.2844189922883,2811.9008303989394,2811.9008303989394,2.0890359006268403e-05,1,0,0
904,G 237-51,183.063048111074,71.4231749583122,42.0063,23.81,M3.0V,127.35687628213,45.3669047795757,3324.0,0.27,0.54617577791214,False,,8.8149995803833,V,M,,,,,False,131.36338630946014,61.21447564789056,159.9687808377819,0.0076074991037903975,167.77667277365748,94.63880702414949,3427.6778654645045,3324.0,9.015692726102773e-07,1,0,0
905,HD  65430,119.891415237723,20.8439287138636,41.687,23.99,K0V,200.813766309506,23.9457012005289,5125.0,0.88,0.813,False,6.77600002288818,6.11899995803833,V,K,,,,,True,117.76403566100588,0.2389528396355257,45.54935888690845,0.02671744205839176,47.77257062906732,26.9473641243988,5284.452517751803,5125.0,2.435807484419308e-07,1,1,1
